record_id,pmid,doi,title,year,title_abstract_decision,title_abstract_reason,full_text_status,full_text_decision,full_text_exclusion_reason,study_id,study_design,key_outcomes,notes
11,41817844,10.1007/s43630-026-00880-6,NDRG2 deficiency exacerbates UVB-induced photodamage in human keratinocytes via impaired Nrf2-mediated antioxidant defense.,2026,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
12,41843139,10.1007/s00299-026-03782-0,Adaptive strategies of halophytes to saline and freshwater drip irrigation: a focus on transcription factors and metabolic pathways.,2026,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
13,41824081,10.1007/s00425-026-04973-5,Molecular orchestration and health implications of fruit pigmentation: from metabolic pathways to nutritional quality.,2026,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
14,41653607,10.1016/j.plaphy.2026.111095,Functional characterization reveals MiNAC25 and MiSGR1 as key regulators of chlorophyll degradation in mango.,2026,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
15,41362495,10.1016/j.jpra.2025.10.029,Yin-Yang NAC sharing: Full-thickness split graft from a single NAC for bilateral immediate reconstruction after skin-reducing mastectomy.,2025,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
16,41214322,10.1007/s00266-025-05390-x,Three-Dimensional Concept in Simultaneous Periareolar Augmentation-Mastopexy.,2025,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
17,41808817,10.21037/gs-2025-aw-491,Pigmented basal cell carcinoma of the nipple-areola complex mimicking malignant melanoma in a 61-year-old Thai woman: a case report and literature review.,2026,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
18,41421415,10.1016/j.freeradbiomed.2025.12.026,LL37-induced mitochondrial stress activates the mtDNA/cGAS/STING pathway to promote mast cell-mediated rosacea inflammation.,2025,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
19,41663723,10.1038/s41598-026-38877-x,Development of a controlled ex vivo human skin platform for quantitative evaluation of age-related functional biomarkers following application of topical treatments.,2026,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
20,41064065,10.1159/000547308,Onychotillomania Dentata: A Newly Defined Oral-Induced Pattern of Repetitive Nail Trauma.,2025,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
21,41600042,10.3390/plants15020235,Multi-Omics Analysis Provides Insights into Developmental Tepal Coloration in Gloriosa superba 'Passion Flame'.,2026,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
22,41300403,10.3390/biology14111614,Integrated Metabolomic and Transcriptomic Analyses of Anthocyanin Synthesis During Fruit Development in Lycium ruthenicum Murr.,2025,exclude,Plant pigment biology; no N-acetylcysteine intervention,,,,,,,Plant pigment biology; no N-acetylcysteine intervention
23,41061299,10.1016/j.bbrc.2025.152762,Rotenone-mediated mitochondrial ROS generation inhibits melanogenesis in B16F10 cells by inducing the ERK activation-MITF degradation pathway.,2025,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
24,41122731,10.3389/fpls.2025.1669458,Multi-omics elucidation of yellow aril coloration in litchi (Litchi chinensis Sonn.) cultivar 'Jianjianghongnuo': coordinated downregulation of flavonoid and carotenoid biosynthetic pathways drives pigment dynamics.,2025,exclude,Plant pigment biology; no N-acetylcysteine intervention,,,,,,,Plant pigment biology; no N-acetylcysteine intervention
25,40415192,10.1111/ijd.17867,Impact of Air Pollution on Skin Pigmentation: Mechanisms and Protective Strategies.,2025,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
26,41019734,10.3389/fpls.2025.1636028,Integrated metabolomic and transcriptomic analysis elucidates transcriptional regulation of flavonoid biosynthesis in differentially pigmented honeysuckle (Lonicera japonica) varieties.,2025,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
27,40340419,10.1177/09592989251341159,Synergistic impact of antioxidant combinations on collagen and elastin synthesis in human dermal fibroblasts.,2025,include,NAC + skin pigmentation/aging relevant,retrieved,include,,,,,
28,40466282,10.1016/j.jphotobiol.2025.113188,Paeoniflorin protected UVA-exposed skin fibroblasts from caspase-3/GSDME mediated pyroptosis.,2025,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
29,40804863,10.3390/diagnostics15151898,"Multimodal Imaging Detection of Difficult Mammary Paget Disease: Dermoscopy, Reflectance Confocal Microscopy, and Line-Field Confocal-Optical Coherence Tomography.",2025,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
30,40757340,10.1021/acsomega.5c03409,Melanin-Based Compounds as Low-Cost Sensors for Nitroaromatics: Theoretical Insights on Molecular Interactions and Optoelectronic Responses.,2025,exclude,"NAC = nitroaromatic compounds, not N-acetylcysteine",,,,,,,"NAC = nitroaromatic compounds, not N-acetylcysteine"
31,40710295,10.3390/cells14141042,The Integrated Function of the Lateral Hypothalamus in Energy Homeostasis.,2025,exclude,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine",,,,,,,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine"
32,40693274,10.3389/fphar.2025.1558593,Prevention of chemotherapy drug-mediated human hair follicle damage: combined use of cooling with antioxidant suppresses oxidative stress and prevents matrix keratinocyte cytotoxicity.,2025,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
33,40183233,10.1111/pbi.70071,Spatial regulation of chlorophyll degradation in kiwifruit: AcNAC2-AcSGR1/2 cascades mediate rapid de-greening in the inner pericarp.,2025,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
34,40522608,10.1186/s13619-025-00242-0,Mitochondrial deoxyguanosine kinase depletion induced ROS causes melanocyte stem cell exhaustion and hair greying.,2025,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
35,40502131,10.1101/2025.06.05.658170,Bidirectional modulation of accumbens dopamine by MCH neurons during learning and consummatory behavior.,2025,exclude,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine",,,,,,,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine"
36,40145657,10.1021/acschemneuro.5c00029,Induction of Ferroptotic Cell Death by Neuromelanin Pigments in Dopaminergic Cells.,2025,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
37,40181030,10.1038/s41598-025-95552-3,Research on the mining of candidate genes for pepper fruit color and development of SNP markers based on SLAF-seq technology.,2025,exclude,Plant pigment biology; no N-acetylcysteine intervention,,,,,,,Plant pigment biology; no N-acetylcysteine intervention
38,40167062,10.1097/SAP.0000000000004312,Aesthetic and Sensory Preferences for the Nipple-Areola Complex Among Postmastectomy Women.,2025,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
39,39950925,10.1002/advs.202413925,Nanomedicine Penetrating Blood-Pancreas Barrier for Effective Treatment of Acute Pancreatitis.,2025,exclude,NAC studied for non-cosmetic indication (toxicology/infection/neuro),,,,,,,NAC studied for non-cosmetic indication (toxicology/infection/neuro)
40,39746823,10.1523/JNEUROSCI.1725-24.2024,Melanin-Concentrating Hormone Projections to the Nucleus Accumbens Enhance the Reward Value of Food Consumption and Do Not Induce Feeding or REM Sleep.,2025,exclude,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine",,,,,,,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine"
41,36943897,10.1111/vop.13086,Multidirectional corneoconjunctival transposition in the treatment of large keratomalacia in 7 dogs and 5 cats.,2023,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
42,40094733,10.3390/plants14050742,Function of Anthocyanin and Chlorophyll Metabolic Pathways in the Floral Sepals Color Formation in Different Hydrangea Cultivars.,2025,exclude,Plant pigment biology; no N-acetylcysteine intervention,,,,,,,Plant pigment biology; no N-acetylcysteine intervention
43,39907116,10.1002/biof.70004,The in vitro and in vivo skin-whitening activity of Ectoine through enhanced autophagy in melanocytes and keratinocytes and zebrafish model.,2025,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
44,39682625,10.3390/diagnostics14232717,Reflectance Confocal Microscopy Can Help in Detecting Clinically Silent Mammary Paget's Disease.,2024,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
45,39236745,10.1055/a-2372-1848,[Hairiness and Skin Colouration after Breast Reconstruction with a Deep Inferior Epigastric Perforator Flap and Reconstruction of the Nipple-Areolar Complex].,2024,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
46,39234801,10.1111/acel.14322,"Targeting TGF-β signaling, oxidative stress, and cellular senescence rescues osteoporosis in gerodermia osteodysplastica.",2024,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
47,39683146,10.3390/plants13233353,Novel Insights into Pigment Composition and Molecular Mechanisms Governing Flower Coloration in Rose Cultivars Exhibiting Diverse Petal Hues.,2024,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
48,39605522,10.1101/2024.11.11.622987,Melanin concentrating hormone projections to the nucleus accumbens enhance the reward value of food consumption and do not induce feeding or REM sleep.,2024,exclude,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine",,,,,,,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine"
49,39529092,10.1186/s12896-024-00918-6,"Antioxidant, neuroprotective, and neuroblastoma cells (SH-SY5Y) differentiation effects of melanins and arginine-modified melanins from Daedaleopsis tricolor and Fomes fomentarius.",2024,exclude,NAC studied for non-cosmetic indication (toxicology/infection/neuro),,,,,,,NAC studied for non-cosmetic indication (toxicology/infection/neuro)
50,39112288,10.1016/j.abd.2023.10.005,"Lack of efficacy of oral N-acetylcysteine ​​in the treatment of facial melasma in women: a randomized, double-blind, placebo-controlled clinical trial.",2024,include,NAC + skin pigmentation/aging relevant,retrieved,include,,,,,
51,39409088,10.3390/ijms251910754,Integrated Metabolomics and Transcriptomics Analyses Reveal the Regulatory Mechanisms of Anthocyanin and Carotenoid Accumulation in the Peel of Coffea arabica.,2024,exclude,Plant pigment biology; no N-acetylcysteine intervention,,,,,,,Plant pigment biology; no N-acetylcysteine intervention
52,39367309,10.1186/s12866-024-03515-x,"Characterization of Candida species isolated from clinical specimens: insights into virulence traits, antifungal resistance and molecular profiles.",2024,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
53,37749796,10.1097/PRS.0000000000011084,Repigmentation of the Nipple-Areola Complex following Free Nipple Grafting.,2023,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
54,39337681,10.3390/ijms251810198,Unbalanced Expression of Structural Genes in Carotenoid Pathway Contributes to the Flower Color Formation of the Osmanthus Cultivar 'Yanzhi Hong'.,2024,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
55,39337478,10.3390/ijms25189990,"Pterostilbene, a Dimethyl Derivative of Resveratrol, Exerts Cytotoxic Effects on Melanin-Producing Cells through Metabolic Activation by Tyrosinase.",2024,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
56,39337339,10.3390/ijms25189852,Unraveling the Genetic Control of Pigment Accumulation in Physalis Fruits.,2024,exclude,Plant pigment biology; no N-acetylcysteine intervention,,,,,,,Plant pigment biology; no N-acetylcysteine intervention
57,39213503,10.1021/acs.jafc.4c03924,NAC Transcription Factor PpNAP4 Promotes Chlorophyll Degradation and Anthocyanin Synthesis in the Skin of Peach Fruit.,2024,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
58,38851504,10.1016/j.chemosphere.2024.142560,Environmentally persistent free radicals on photoaging microplastics shortens longevity via inducing oxidative stress in Caenorhabditis elegans.,2024,exclude,Photoaging of plastics; no N-acetylcysteine intervention,,,,,,,Photoaging of plastics; no N-acetylcysteine intervention
59,38594953,10.1111/tpj.16762,Multiple transcription factors of Arabidopsis thaliana that are activated by LEAFY COTYLEDON 2 regulate triacylglycerol biosynthesis.,2024,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
60,38641701,10.1007/s00418-024-02282-0,Effect of N-acetylcysteine on hair follicle changes in mouse model of cyclophosphamide-induced alopecia: histological and biochemical study.,2024,include,NAC + skin pigmentation/aging relevant,retrieved,exclude,Animal alopecia model; outcome mismatch (not pigmentation/aging),,,,
61,38470079,10.1111/jocd.16274,Evaluation of efficacy and safety of vitiligo treatment with micro-needling combined with N-Acetylcysteine and micro-needling alone: A double-blinded randomized controlled clinical trial.,2024,include,NAC + skin pigmentation/aging relevant,retrieved,include,,,,,
62,38539863,10.3390/antiox13030330,"Multifaceted Effects of L-Cysteine, L-Ascorbic Acid, and Their Derivatives on the Viability and Melanin Synthesis of B16/F10 Cells under Different Conditions.",2024,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
63,38524061,10.7759/cureus.54678,Paget's Presentation of High-Grade Ductal Carcinoma In Situ (DCIS) in a Very Young Female With Breast Cancer 2 (BRCA2) Mutation.,2024,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
64,37976855,10.1016/j.jhazmat.2023.132990,Environmentally persistent free radicals on photoaged microplastics from disposable plastic cups induce the oxidative stress-associated toxicity.,2023,exclude,Photoaging of plastics; no N-acetylcysteine intervention,,,,,,,Photoaging of plastics; no N-acetylcysteine intervention
65,38312453,10.1089/trgh.2021.0094,Quantifying Nipple-Areolar Complex Shape and Location After Transmasculine Top Surgery: A Study of Postoperative Photographs Posted on Social Media and Surgeons' Professional Websites.,2024,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
66,38118291,10.1016/j.bjps.2023.11.041,Pyoderma gangrenosum following reduction mammoplasty: Systematic review of the literature and case report.,2023,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
67,37820818,10.1016/j.scitotenv.2023.167684,"Environmentally persistent free radicals on photoaged nanopolystyrene induce neurotoxicity by affecting dopamine, glutamate, serotonin and GABA in Caenorhabditis elegans.",2023,exclude,Photoaging of plastics; no N-acetylcysteine intervention,,,,,,,Photoaging of plastics; no N-acetylcysteine intervention
68,37884214,10.1016/j.ijpharm.2023.123547,Microneedle-mediated transdermal delivery of N-acetyl cysteine as a potential antidote for lewisite injury.,2023,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
69,37573659,10.1016/j.biopha.2023.115307,Tranexamic acid improves psoriasis-like skin inflammation: Evidence from in vivo and in vitro studies.,2023,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
70,37132544,10.1111/pcmr.13088,BMI1 is required for melanocyte stem cell maintenance and hair pigmentation.,2023,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
71,36918417,10.1007/s00709-023-01845-7,Transcriptome analysis reveals important regulatory genes and pathways for tuber color variation in Pinellia ternata (Thunb.) Breit.,2023,exclude,Plant pigment biology; no N-acetylcysteine intervention,,,,,,,Plant pigment biology; no N-acetylcysteine intervention
72,37563565,10.1186/s12863-023-01144-3,Transcriptome analysis during vernalization in wheat (Triticum aestivum L.).,2023,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
73,37360739,10.3389/fpls.2023.1169220,Metabolomic and transcriptomic analyses reveal the effects of grafting on blood orange quality.,2023,exclude,Plant pigment biology; no N-acetylcysteine intervention,,,,,,,Plant pigment biology; no N-acetylcysteine intervention
74,36933305,10.1016/j.envint.2023.107875,The generation of environmentally persistent free radicals on photoaged microbeads from cosmetics enhances the toxicity via oxidative stress.,2023,exclude,Photoaging of plastics; no N-acetylcysteine intervention,,,,,,,Photoaging of plastics; no N-acetylcysteine intervention
75,36835425,10.3390/ijms24044013,Transgenic Zebrafish Expressing Rat Cytochrome P450 2E1 (CYP2E1): Augmentation of Acetaminophen-Induced Toxicity in the Liver and Retina.,2023,exclude,NAC studied for non-cosmetic indication (toxicology/infection/neuro),,,,,,,NAC studied for non-cosmetic indication (toxicology/infection/neuro)
76,36525819,10.1016/j.biopha.2022.114132,Experimental and approved treatments for skin photosensitivity in individuals with erythropoietic protoporphyria or X-linked protoporphyria: A systematic review.,2022,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
77,36424367,10.1002/jbt.23262,Crosstalk of moderate ROS and PARP-1 contributes to sustainable proliferation of conditionally reprogrammed keratinocytes.,2022,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
78,36643737,10.1093/hr/uhac241,Gapless genome assembly of azalea and multi-omics investigation into divergence between two species with distinct flower color.,2022,exclude,Plant pigment biology; no N-acetylcysteine intervention,,,,,,,Plant pigment biology; no N-acetylcysteine intervention
79,36549672,10.4062/biomolther.2022.137,Growth Factors Upregulated by Uric Acid Affect Guanine Deaminase-Induced Melanogenesis.,2022,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
80,35148231,10.1080/13880209.2022.2032208,Response surface optimization of enzymatic hydrolysis and ROS scavenging activity of silk sericin hydrolysates.,2022,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
81,36142401,10.3390/ijms231810487,Expression of Polyamine Oxidase in Fibroblasts Induces MMP-1 and Decreases the Integrity of Extracellular Matrix.,2022,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
82,35520024,10.1016/j.eucr.2022.102095,Wilms' tumour with spinal cord involvement.,2022,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
83,35742892,10.3390/ijms23126448,"The Identification of Broomcorn Millet bZIP Transcription Factors, Which Regulate Growth and Development to Enhance Stress Tolerance and Seed Germination.",2022,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
84,35218147,10.1111/pcmr.13032,Altered expression of ferroptosis markers and iron metabolism reveals a potential role of ferroptosis in vitiligo.,2022,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
85,35316314,10.1039/d1fo04130d,"4,4'-Dimethoxychalcone protects the skin from AAPH-induced senescence and UVB-induced photoaging by activating autophagy.",2022,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
86,34856342,10.1016/j.tiv.2021.105282,Influence of cellular redox environment on aryl hydrocarbon receptor ligands induced melanogenesis.,2021,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
87,33894036,10.1111/jocd.14174,Astragaloside prevents UV-induced keratinocyte injury by regulating TLR4/NF-κB pathway.,2021,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
88,35203350,10.3390/cells11040701,Mitofusin-2 Negatively Regulates Melanogenesis by Modulating Mitochondrial ROS Generation.,2022,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
89,34719675,10.1038/s41438-021-00670-4,The regulation of cell wall lignification and lignin biosynthesis during pigmentation of winter jujube.,2021,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
90,34703442,10.1159/000516762,Pathological Complete Response following Neoadjuvant Chemotherapy in Invasive Ductal Carcinoma with Mammary Paget's Disease: A Case Report.,2021,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
91,34361014,10.3390/ijms22158249,Transcriptome-Based WGCNA Analysis Reveals Regulated Metabolite Fluxes between Floral Color and Scent in Narcissus tazetta Flower.,2021,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
92,34439449,10.3390/antiox10081202,Identification of L-Cysteinamide as a Potent Inhibitor of Tyrosinase-Mediated Dopachrome Formation and Eumelanin Synthesis.,2021,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
93,34303342,10.1186/s12870-021-03121-3,Metabolome and transcriptome profiling provide insights into green apple peel reveals light- and UV-B-responsive pathway in anthocyanins accumulation.,2021,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
94,33786299,10.1016/j.jobcr.2021.03.006,"Therapeutic implications of candida phenotypes, virulence factors and antifungal sensitivity in Oral leukoplakia.",2021,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
95,33456524,10.3892/etm.2020.9588,DUOX2 participates in skin aging induced by UVB in HSF2 cells by activating NF-κB signaling.,2020,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
96,33441891,10.1038/s41598-020-80437-4,Transcriptional analysis reveals key insights into seasonal induced anthocyanin degradation and leaf color transition in purple tea (Camellia sinensis (L.) O. Kuntze).,2021,exclude,Plant pigment biology; no N-acetylcysteine intervention,,,,,,,Plant pigment biology; no N-acetylcysteine intervention
97,33346321,10.7417/CT.2021.2275,Lumevis ™: a new medical device to prepare patients for esophagogastroduodenoscopy. Experimental clinical study.,2021,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
98,32862473,10.1002/ejp.1654,Psoralens activate and photosensitize Transient Receptor Potential channels Ankyrin type 1 (TRPA1) and Vanilloid type 1 (TRPV1).,2020,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
99,32904992,10.1002/jmd2.12137,Reversal of ochronotic pigmentation in alkaptonuria following nitisinone therapy: Analysis of data from the United Kingdom National Alkaptonuria Centre.,2020,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
100,32526201,10.1016/j.abb.2020.108437,Alpha-neoendorphin can reduce UVB-induced skin photoaging by activating cellular autophagy.,2020,exclude,NAC studied for non-cosmetic indication (toxicology/infection/neuro),,,,,,,NAC studied for non-cosmetic indication (toxicology/infection/neuro)
